Matchday,Athletic Club (First Half),Athletic Club (Second Half),CA Osasuna (First Half),CA Osasuna (Second Half),CD Leganés (First Half),CD Leganés (Second Half),Club Atlético de Madrid (First Half),Club Atlético de Madrid (Second Half),Deportivo Alavés (First Half),Deportivo Alavés (Second Half),FC Barcelona (First Half),FC Barcelona (Second Half),Getafe CF (First Half),Getafe CF (Second Half),Girona FC (First Half),Girona FC (Second Half),RC Celta de Vigo (First Half),RC Celta de Vigo (Second Half),RCD Espanyol de Barcelona (First Half),RCD Espanyol de Barcelona (Second Half),RCD Mallorca (First Half),RCD Mallorca (Second Half),Rayo Vallecano de Madrid (First Half),Rayo Vallecano de Madrid (Second Half),Real Betis Balompié (First Half),Real Betis Balompié (Second Half),Real Madrid CF (First Half),Real Madrid CF (Second Half),Real Sociedad de Fútbol (First Half),Real Sociedad de Fútbol (Second Half),Real Valladolid CF (First Half),Real Valladolid CF (Second Half),Sevilla FC (First Half),Sevilla FC (Second Half),UD Las Palmas (First Half),UD Las Palmas (Second Half),Valencia CF (First Half),Valencia CF (Second Half),Villarreal CF (First Half),Villarreal CF (Second Half)
12,0,1,1,1,2,3,1,2,0,1,3,3,0,0,2,4,1,1,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,1,1,2,2,4,1,1,0,1,0,0,1,3,0,1,1,3
